"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SPICEPREFIX";"SUPPLIER";
"C1";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"C";"";
"C2";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"C";"";
"H1";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";
"H2";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";
"H3";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";
"H4";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";
"IC1";"NCP1117ST33T3G";"NCP1117ST33T3G";"SOT230P700X180-4N";"ON SEMICONDUCTOR - NCP1117ST33T3G - IC, LINEAR VOLTAGE REGULATOR";"ON SEMICONDUCTOR - NCP1117ST33T3G - IC, LINEAR VOLTAGE REGULATOR";"1.8mm";"ON Semiconductor";"NCP1117ST33T3G";"";"863-NCP1117ST33T3G";"";"";"";"";"";"";
"JP1";"";"PINHD-1X20";"1X20";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";
"JP2";"";"PINHD-1X20";"1X20";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";
"JP3";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";
"JP4";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";
"JP5";"";"PINHD-1X5";"1X05";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";
"ON";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"R";"";
"R2";"";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"R";"";
"R3";"";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"R";"";
"U$1";"PIC18F45K20-I/P";"PIC18F45K20-I/P";"DIP254P1524X635-40";"Flash Microcontrollers";"";"";"";"";"";"";"PIC18F45K20-I/P";"1439588";"88K6041";"DIP-40";"";"Microchip";
"USB";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";
"X1";"MINI-USB-UX60A-MB-5ST";"MINI-USB-UX60A-MB-5ST";"UX60A-MB-5ST";"MINI USB Connector";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";
